"AUTHOR_ID","RESEARCHER","C1"
"26867818","Anantha Chandrakasan","193"
"26748208","Andrew S. Tanenbaum","328"
"27024407","Serge Abiteboul","582"
"27061269","Mark Horowitz","311"
"26907182","David E. Goldberg","434"
"26766734","Divesh Srivastava","646"
"26984932","Donald E. Knuth","51"
"27003750","Erkki Oja","180"
"26751179","Pierre Wolper","111"
"26933736","Rajkumar Buyya","498"
"26915025","Wei-Ying Ma","1020"
"27017607","Christos Faloutsos","743"
"26729402","Darrell Whitley","77"
"26995489","Mario Gerla","832"
"27336105","David S. Johnson","209"
"26640808","John A. Stankovic","673"
"27349116","Diego Calvanese","524"
"26932789","Micha Sharir","833"
"27281326","Rina Dechter","153"
"27012697","Subhash Suri","436"
"27321423","David B. Fogel","88"
"26937198","Jack Dongarra","1253"
"26941872","Manuel Blum","93"
"27044159","George Karypis","253"
"26750768","Jeff Kramer","329"
"26850866","John Canny","31"
"27051984","Philip S. Yu","1393"
"27271449","Maurizio Lenzerini","534"
"26766188","Bart Selman","233"
"26812249","Shmuel Peleg","97"
"26675247","Yehoshua Sagiv","335"
"27146314","Mihir Bellare","245"
"26818603","Andrew B. Kahng","719"
"27449264","Luis Gravano","212"
"26637284","Deborah L. McGuinness","354"
"26909913","Demetri Terzopoulos","150"
"26638244","Jim Kurose","70"
"27040977","Joseph Sifakis","237"
"27283546","Michael J. Carey","626"
"26955400","Pierre Baldi","267"
"27346326","Pietro Perona","230"
"27109325","Pierangela Samarati","474"
"26671051","Zbigniew Michalewicz","158"
"27119242","Michael L. Littman","284"
"26743708","Moti Yung","636"
"26861598","Rajiv Gupta","332"
"27216799","Victor R. Basili","454"
"27195980","Avi Wigderson","436"
"27283313","Gaurav Sukhatme","37"
"27120498","Martin Vetterli","291"
"26868558","Ming C. Lin","437"
"26967120","Pradeep K. Khosla","204"
"26988138","Leonidas J. Guibas","855"
"27017815","Manfred K. Warmuth","215"
"27145760","Elisa Bertino","1342"
"27236531","H. Vincent Poor","871"
"26736386","Jens Palsberg","163"
"26993179","Kathleen McKeown","200"
"27463118","Monica S. Lam","261"
"26746045","Stefano Soatto","258"
"27392444","Steven Salzberg","102"
"26932720","Alex Nicolau","44"
"27316337","Zoubin Ghahramani","232"
"26961956","Maurice Herlihy","263"
"27154080","Michael Reiter","27"
"27172791","H. T. Kung","186"
"26883276","Yishay Mansour","434"
"26696711","Balakrishnan Chandrasekaran","4"
"26997120","Christophe Diot","363"
"26801490","Dan Boneh","217"
"26653820","Bernhard Schšlkopf","458"
"27280439","Krishnendu Chakrabarty","393"
"27035635","Wolfram Burgard","585"
"26852607","Dieter Fensel","508"
"26936644","Dimitris Papadias","299"
"27077895","H. V. Jagadish","538"
"26874198","Joachim Weickert","364"
"26895732","Willy Zwaenepoel","249"
"26961620","Zohar Manna","277"
"27436880","Daphne Koller","372"
"26874165","Mark Crovella","154"
"26693742","David Peleg","503"
"27388439","John Heidemann","1"
"27349152","Kang G. Shin","699"
"27424662","Kishor S. Trivedi","452"
"26602524","Sushil Jajodia","882"
"26622161","Matthew Hennessy","147"
"26914027","Michael T. Goodrich","444"
"27318081","George Varghese","238"
"27206911","Herbert Edelsbrunner","479"
"27463868","Peter Stone","437"
"27001656","Pascal Van Hentenryck","315"
"26849794","Robert K. Brayton","637"
"27448689","Tuomas Sandholm","293"
"27079292","Andrew Campbell","12"
"27209827","Avrim Blum","273"
"26861194","Dennis Shasha","371"
"26730708","Prashant Shenoy","2"
"27445164","Rafail Ostrovsky","328"
