"RESEARCHER","C1"
"S. Fiong","1"
"Y. Meng","26"
"Yukinori Kakazu","125"
"M. R. M. L. Albuquerque","11"
"Frank Verbiest","74"
"Duccio Cavalieri","79"
"Sofia Tsekeridou","137"
"Michelle M. Donegan","14"
"Fred J. Damerau","44"
"Tilman Buchner","6"
"Mark Coyle","17"
"M. Kales","3"
"Sung-Ju Park","81"
"Tie-Yan Liu","272"
"Gary Stephen Blanpied","8"
"Andp. A. Volz","1"
"J Skrha","2"
"Martin Wengeler","1"
"Brian E. Aydemir","29"
"Kalle Eerola","1"
"Hessah Alsaaran","1"
"Paola Baldassarri","32"
"Zoran Miljanic","4"
"Li Chuntao","1"
"Jinlai Yan","1"
"Enrique A. Calderon","2"
"Toshihisa Sato","1"
"Qianqian Ge","3"
"Ya-Ju Yu","2"
"Umesh Vaidya","4"
"Abdelhakim Khouas","17"
"Koushil Sreenath","2"
"Rita Singh","6"
"Rui T. Valadas","14"
"Shyh-Rong Lay","7"
"Jane T. Malin","15"
"Lino Coria-Mendoza","13"
"M. Ulagammai","3"
"Javier Colás","3"
"Michael Himmelsbach","10"
"Subhash Bhalla","47"
"Ramon Aguero","10"
"Huijie Yu","1"
"J. Benton Jones","13"
"Fuhua Lin","61"
"David G. Ward","4"
"W. J. Orts","29"
"L. Toutain","2"
"Frederick S. Vizeacoumar","3"
"Pierre Fraigniau","3"
"Albert Kuo","13"
"J. H. Makaliwe","9"
"B. Gilliard","3"
"E. Cisabni","8"
"Tobias Gärtner","6"
"I. M. Lifshitz","5"
"Ann Chi Kim","1"
"J. T. Hviid","3"
"Gwyneth M. Stallard","11"
"P. Vielcanet","9"
"M. Wortis","12"
"Grégoire Henry","7"
"Jared C. Smolens","60"
"Michael Pronath","48"
"Mario Blanco","66"
"Darrell R. Raymond","20"
"E. P. Richards","18"
"B. Thaler","1"
"Jean-Marie Comeau","1"
"Suli Wu","2"
"X. Simón","4"
"Seunghoon Park","4"
"Faouzi Ben Jebara","5"
"Stephen P. Banks","19"
"Ruben D'Sa","3"
"Carlos M. Gómez","2"
"Ahmet F. Ates","4"
"Atsuo Senga","3"
"Anthony Hoogs","59"
"Mitsuhiro Kondo","1"
"J. P. Gore","5"
"Giner Alor-Hernández","132"
"Shyam R. Chidamber","11"
"Yaduo Liu","4"
"Nicola Carlo Guerrini","5"
"Bent Thomsen","63"
"Aditya Kumar Sehgal","26"
"Xiao Lua","2"
"Dae-Young Ahn","1"
"S. Trasobares","7"
"Ken-Ichi Shima","8"
"Rafael R. Ramírez","198"
"Stephen T. Quay","116"
"Evgeny Korotyaev","23"
"Murali Mani","147"
"C. P. Moreira","16"
"Samuel Peltier","42"
"Paul E. Shames","12"
"Brian T. Bennet","2"
"T. Watt","23"
"Christian V. Schimpfle","19"
"Selahattin Uysal","8"
"P. Levene","5"
"Janet Rhine-Chalberg","4"
"Timothy J. O'Gorman","38"
"Thomas Sødring","42"
"Subramanian Neelakantan","1"
"Michael P. Ryan","37"
"Julian C. Cummings","6"
"Anderson V. Medeiros","2"
"Geoffrey Smith","38"
"Craig Fisher","12"
"Chiew Kang Leng","8"
"Bijan Vosoughi Vahdat","1"
"Claus-Michael Seiler","3"
"Jerry Nolte","3"
"John G. McMahon","3"
"Anwit Roy","4"
"Xiaomao Mao","4"
"Michael Lautenschlager","10"
"Zhixiong Li","3"
"Shia-Chung Teng","1"
"J. Seifert","4"
"Akira Sasou","26"
"Pei-Sheng Chen","19"
"Wei-Po Lee","6"
"Jongwoo Lee","17"
"S. M. Joshi","36"
"Penny L. Smith-Kerker","3"
"R. Rainey Little","1"
"Raimond L. Winslow","180"
"E. S. Quintana-Ort'I","2"
"Xiaodi Lin","4"
"R. B. Iknaian","1"
"Roland Bruning","57"
"Philip Zimmermann","58"
"S. E. J. Hoddell","8"
"Alberto Pacchiotti","10"
"Annick Le Glaunec","6"
"Roie Melamed","30"
"Fusaichi Katayama","3"
"Jitamitra Desai","3"
"Laibin Yan","3"
"Mustapha Réda Senouci","10"
"Melissa M. Walwanis Nelson","5"
"Pierre Renaud","24"
"P. S. La Rosa","2"
"Feiyu Xu","78"
"Andreas Solsbach","10"
"Patrick McDowell","15"
"C. Robert Morgan","7"
"Jitti Jungwattanakit","3"
"Ralph Johnson","4"
"Marian Matthews","1"
"Ben D. Lund","3"
"Sa Hyun Bang","7"
"Josefa Caballero","3"
"Bing Yang","72"
"Ian Brynjolfson","2"
"Tianyong Hao","37"
"C. M. Tan","17"
"Blaise Madeline","2"
"George Psihountas","6"
"Tzong-Song Wang","9"
"Alain Trubuil","46"
"S. Muhlberger","5"
"Bernat Llorens","4"
"Lp Lim","8"
"W. T. Main","8"
"C. B. Littler","13"
"G. Haldemann","6"
"Robert P. Brazile","44"
"Jai Kwang Shin","2"
"N. Navid-Azarbaijani","1"
"Chou-Chen Yang","49"
"S. W. Chau","9"
"Oscar Brito Augusto","4"
"Tse Cheng","13"
"Constance M. Schober","14"
"Ronny Standtke","7"
"R. V. Gandham","3"
"Patricia Figueiredo","1"
"Lilian L. Bueno","38"
"Hans J. Schmoll","8"
"Geipel M","11"
